Name,Year of release,Image,title,country origin,Number of Episode,Aired Date,original network,Duration,Content Rating,Rating,Rank,popularity,watcher,Synopsis,Genre,Tags,Cast,watch on,director,Aired On,,,,,
Crime Puzzle,2021,https://i.mydramalist.com/v7jBp_4c.jpg?v=1,Crime Puzzle,South Korea,10,"Oct 29, 2021 - Nov 26, 2021",Olleh TV,50 min,Not Yet Rated,6.5,2992,"2,336","7,234","""Crime Puzzle"" is a story where a criminal psychologist is sent to prison for murdering a political candidate, and the criminal profiler who loses her father to the murder is conducting interviews with the murderer for a case that occurs within the prison. These two used to be lovers just a year ago, until they meet again as a murderer and a criminal profiler, and face the unexpected truth to a series of murders. The thriller focuses on the process of them putting the pieces together, like a puzzle.

(Source: HanCinema)

~~ Adapted from the webtoon ""Crime Puzzle"" (크라임 퍼즐) by Meen.","Thriller, Mystery, Psychological, Romance, Drama","Criminal Psychology, Prisoner, Good And Evil, Death Of Father, Professor, Criminal Psychologist, Death Of A Parent, Meet Again, Interview, Criminal Profiler",Yoon Kye Sang Han Seung MinMain RoleGo Ah Sung Yoo HeeMain RoleYoon Gyung Ho Kim Pan HoSupport RoleSong Sun Mi Park Jeong HaSupport RoleKwon Soo Hyun Cha Seung JaeSupport RoleWoo Hyun Jo Seong SooSupport Role,WeTV   Viki   Apple TV ,,Friday,,,,,
The Sweet Blood,2021,https://i.mydramalist.com/xNv6j_4c.jpg?v=1,The Sweet Blood,South Korea,15,"Mar 24, 2021 - May 12, 2021","Naver TV Cast,vLive",50 min,Not Yet Rated,6.8,5234,879,"9,266","Born between a human mother and a vampire father, Yeon Seo is a 118 year old half-vampire who wants nothing more than to live an ordinary human life. With natural beauty and a slew of vampire abilities, Yeon Seo could be anything she wanted, but she has chosen to blend in with those who appear closest to her age. As a result, Yeon Seo now finds herself faced with one of life’s most difficult challenges: graduating from high school.

Fighting back her more vampiric urges, Yeon Seo does her best to blend in at school; a task that, for the most part, has been fairly easy. But when the sweet blood of her classmate, Song Meo Roo, attracts the attention of vampires and werewolves alike, things get a little more complicated. Trying desperately to ignore the siren call of Meo Roo’s blood, Yeon Seo takes it upon herself to protect her classmate from those who hunt him. 

As Yeon Seo and Meo Roo run for their lives, the blood in his veins calls to her. Torn between family duty and the desires of her own heart, a war within Yeon Seo rages. Will she be able to embrace her humanity and resist the temptation of this boy’s sweet blood or will her vampire side rise victorious in the end?

(Source: Viki)

~~ Adapted from the webtoon ""The Sweet Girl"" (달달한그녀) by writer S and illustrator Nal Chi (날치).","Romance, School, Supernatural",,Song Chae Yun Son Yeon SeoMain RoleKim Eo Jin Song Meo RuMain RoleKim Ji Woong Yoon Chi WooMain RoleCho Eun Ho Do Hyun JeSupport RoleYoon Da Young Kim Su JeongSupport RoleKim Tae Hwan Son Ha SeokSupport Role,Netflix ,Hwang Da Seul,"Wednesday, Saturday",,,,,
Chimera,2021,https://i.mydramalist.com/RNoko_4c.jpg?v=1,Chimera,South Korea,16,"Oct 30, 2021 - Dec 19, 2021",OCN,50 min,Not Yet Rated,8,8669,2475,"2,971","In 1984, a potential serial killer struck again as a ghastly explosion shook the city. Now it’s 2019, and copies of those crimes come to light. Follow the team of Detective Jae Wan, Profiler Yoo Jin, and Surgeon Dr. Joong Yeob assigned to solve both the cold and current cases. Their prime suspect goes by ‘Chimera’, after the beast in Greek mythology.It had the head of a lion, the body of a goat, and the tail of a fire-breathing serpent.

To capture the criminal, they must first uncover the secrets that link the two cases some thirty-five years apart. Could the clue lie in the tale of the mythical monster? 

(Source: CJENM.com; Soompi; edited by Lee C)","Thriller, Mystery",,Park Hae Soo Cha Jae HwanMain RoleKim Soo Hyun Eugene HathawayMain RoleLee Hee Joon Lee Joong YeopMain RoleCha Joo Young Kim Hyo KyungMain RoleJung Young Ki Im Pil Seong [Violent Crimes Team]Support RoleKim Ji Hoon Jo Han Cheol [Violent Crimes Team]Support Role,Netflix ,Lee Jin Mae,"Saturday, Sunday",,,,,
"Breakup Probation, A Week",2021,https://i.mydramalist.com/ByXXV_4c.jpg?v=1,"Breakup Probation, A Week",South Korea,10,"Feb 22, 2021 - Feb 26, 2021",SBS,50 min,Not Yet Rated,7.5,3266,4529,"1,261","Before Ga Ram's and Seon Jae's wedding, theyget into a car accident. The accident leaves Seon Jae in a coma and kills Ga Ram. After her death, Ga Ram finds herself in an unknown place where she receives a strange offer from a man named X.
 ""I’ll give you a week. In order to save Seon Jae, break up with him in a week.""
 Ga Ram goes back to the previous week to say goodbye to Seon Jae, her forever love. Only when Seon Jae fights the break up does Ga Ram realize the depth and intensity of his sincere love for her.But it’s too late. Ga Ram needs to find an excuse to break up with him. Will Ga Ram succeed and save Seon Jae?

(Source: HanCinema)","Romance, Suspense,Drama",,"Kwon Yu Ri Park Ga RamMain RoleHyun Woo Kim Seon JaeMain RoleYoon Ji On ""X""Support RoleHan Ga Rim Choi Hee JeongSupport RoleBang Eun Hee Son Myung SookSupport RoleLee Jung Bin Shin Ji WonSupport Role",Netflix ,"Also Known As: Parting Grace, One Week ,Break-up Suspension ,A Week Delay of Farewell ,A Week Before Farewell ,Ibyeolyue, Iljuil ,Ibyeolyue Iljuil",Monday,,,,,
She Would Never Know,2021,https://i.mydramalist.com/Eorom_4c.jpg?v=1,She Would Never Know,South Korea,16,"Jan 18, 2021 - Mar9, 2021","iQiyi,jTBC",50 min,Not Yet Rated,8.1,1139,329,"20,652","Yoon Song Ah works as a marketer for a cosmetics brand. She enjoys her job and dreams of launchingher own brand someday.Chae Hyun Seung is a fellow marketer who becomes attracted to Yoon Song Ah.He tries to develop a romantic relationship but Yoon Song Ah rebuffs his advances, not wishing to date younger men.

(Source: AsianWiki)

~~ Adapted from the webtoon ""Senior, Don't Put on That Lipstick"" by Elise.","Comedy,Romance,Drama","Office Romance, Male Chases Female First, Cosmetics Company, Nice Male Lead, Workplace, Senior-Junior, Idol Actor, Adapted From A Web Novel, Older Woman/Younger Man, Brother-Sister Relationship",Won Jin Ah Yoon Song AhMain RoleRowoon Chae Hyun SeungMain RoleLee Hyun Wook Lee Jae ShinMain RoleLee Joo Bin Lee Hyo JooMain RoleLee Kyu Han Lee Jae Woon [Hyo Joo's brother]Main RoleWang Bit Na Chae Ji Seung [Hyun Seung's sister]Support Role,WeTV   Viki  ,Lee Dong Yoon,"Monday, Tuesday",,,,,
Love Alarm 2,2021,https://i.mydramalist.com/pYVrV_4c.jpg?v=1,Love Alarm 2,South Korea,6,"Mar 12, 2021",Netflix,50 min,Not Yet Rated,6.3,5444,195,"30,191","Longing for resounding proof of her feelings, Kim Jo Jo sets out to uninstall the shield and make the app ring for her one true love.

(Source: Netflix)","Friendship, Romance, School, Drama","Friendship,Romance,School,Drama",Kim So Hyun Kim Jo JoMain RoleJung Ga Ram Lee Hye YoungMain RoleSong Kang Hwang Sun OhMain RoleGo Min Si Park Gul Mi [Jo Jo's cousin]Support RoleShim Yi Young Bae Kyung Hee [Hye Young's mother]Support RoleKim Si Eun Yook Jo [Sun Oh's girlfriend]Support Role,Netflix ,"Also Known As: Love Alarm Season 2 ,Love Alarm S2 ,Joahamyeon Ullineun Sijeun 2 ,Joahamyeon Ullineun 2 ,Johahamyeon Ullineun 2",Friday,,,,,
To My Star,2021,https://i.mydramalist.com/pA3w8_4c.jpg?v=1,To My Star,South Korea,9,"Jan 22, 2021 - Feb5, 2021",Viki,50 min,Not Yet Rated,8.2,719,358,"19,396","Actor Kang Seo Joon was once one of South Korea’s biggest and most popular stars, but his career is now in decline. Despite his fall in popularity, he believes he has had a change of fortune when he meets and falls for a dashing young chef named Han Ji Woo.

Despite having wildly different personalities, the two enter a relationship. However, their love comes under threat when the more conservative Han Ji Woo and the -spirited Kang Seo Joon realize that their outlooks on life, love, and everything else appears irrevocably different.
(Source: Viki, MyDramaList)","Comedy, Romance, Youth","Comedy,Romance,Youth",Son Woo Hyun Kang Seo JoonMain RoleKim Kang Min Han Ji WooMain RoleKong Jae Hyun Kim Hyung KiSupport RoleJeon Jae Yeong Kim Pil Hyun [CEO of TB Entertainment]Support RoleKim Jin Kwon Baek Ho Min [Seo Joon's manager]Support RoleHan Ji Won Lee Yoon Seul [Celebrity reporter]Support Role,Netflix  WeTV   Viki   SBS World   Apple TV   Kocowa ,"Also Known As: Naui Byeolege ,Na-ui Byeol-e-ge ,Naui byeorege",Friday,,,,,
Snowdrop,2021,https://i.mydramalist.com/BKAzV_4c.jpg?v=1,Snowdrop,South Korea,16,"Dec 11, 2021 - ?",jTBC,50 min,Not Yet Rated,N/A,27903,601,"13,234","In 1987, Im Soo Ho and Eun Young Ro are students at a prestigious university in Seoul. Im Soo Ho, who grew up in Germany, has a gentle charm but gives off an air of secrecy.Eun Young Ro, who is lively, lovable, and cheerful, fell in love with him at first sight at a social gathering. One day, Soo Ho suddenly rushes into a female dormitory covered in blood, and Eun Young Ro hides him and tends to his wounds despite facing danger under close surveillance.

Among those monitoring, Soo Ho and Young Ro must avoid Pi Seung Hee, the notoriously strict and imposing housemother of Young Ro's dorm, and Kye Boon Ok, a phone operator at the dorm who had to forgo a college education due to her family’s financial circumstances. 

Lee Kang Moo is the relentless head of Team 1 of the National Intelligence Service (NIS) and always insists on doing everything by the book. By contrast, NIS agent Jang Han Na is impulsive, hot-tempered, and passionate about her job. 

Kang Chung Ya is a beautiful and talented surgeon at a state-run hospital who can charm anyone in a split second. Although her skills in the operating room have earned her a solid reputation as a dependable surgeon, Dr. Kang is mysterious and appears to be hiding something.

(Source: Soompi, MyDramaList)

~~ Adapted from the handwritten notes of a man who escaped from a political prison camp in North Korea.","Romance,Drama,Melodrama,Political","Idol Actress, University Student, Love At First Sight, BLACKPINK, Dormitory, 1980s, Agent, Student, Based On True Story, Raised Abroad",Jung Hae In Im Soo HoMain RoleKim Ji Soo Eun Young RoMain RoleJang Seung Jo Lee Kang MooMain RoleYoo In Na Kang Cheong YaMain RoleKim Hye Yoon Kye Boon OkMain RoleYoon Se Ah Pi Seung HeeMain Role,Netflix ,Yoo Hyun Mi,"Saturday, Sunday",,,,,
L.U.C.A.: The Beginning,2021,https://i.mydramalist.com/4xzKK_4c.jpg?v=1,L.U.C.A.: The Beginning,South Korea,12,"Feb1, 2021 - Mar9, 2021",tvN,50 min,Not Yet Rated,7.4,3956,782,"10,423","“LUCA"" is based on Charles Darwin’s proposition that all species of life have descended over time from common ancestors. (LUCA stands for ""last universal common ancestor."")
Ji Oh, who rarely reveals his emotions to others, has a special power and a secret but doesn't know who he really is. He is chased by mysterious figures while he tries to find answers to numerous questions that surround him.
Gu Reum is a detective whose parents disappeared when she was a young child. When she decides on a course of action, she won't change no matter what.Gu Reum chases after the truth behind her parents' disappearance. She meets Ji Oh and her life changes. 
(Sources: Asianwiki, Soompi)","Action,Thriller,Mystery,Sci-Fi","Special Power, Detective, Human Experimentation, Strong Male Lead, Hidden Past, Strong Female Lead, Hidden Identity, Tragic Past, Amnesia, Genetics",Kim Rae Won Ji OhMain RoleLee Da Hee Ha Neul Ae Gu ReumMain RoleKim Sung Oh Lee SonMain RoleKimSang Ho Choi Jin HwanSupport RoleJung Da Eun Choi Yoo NaSupport RolePark Hyuk Kwon Kim Cheol SooSupport Role,Netflix ,Kim Hong Seon,"Monday, Tuesday",,,,,
"Hello, Me!",2021,https://i.mydramalist.com/v8g0D_4c.jpg?v=1,"Hello, Me!",South Korea,16,"Feb 17, 2021 - Apr8, 2021","KBS2,Netflix",50 min,Not Yet Rated,8,1263,788,"10,308","Miserable and unsuccessful, Ban Ha Ni, a single 37-year-old woman who is generally servile and timid, thinks she's lost all her spark. Holding only a temporary position at her work, she’s fearful of being let go at any moment, and considering her current lack of security, she also does not want to remain single. She lives her life like that going about it day by day, until one day, her spunky younger self appears in front of her demanding change. Her 17-year-old version of herself travels from the past to meet her current self, and the 17-year-old Ha Ni is nothing like the current 37-year-old Ha Ni. Bright and optimistic, she's the complete opposite of what Ha Ni is like today.

 (Source: Netflix, AsianWiki; MyDramaList)","Comedy,Romance,Life,Fantasy","Age Gap, Time Travel, Hardworking Female Lead, Adapted From A Novel, Older Woman/Younger Man, Second Chance, Character Development, Rich Male Lead, Childhood Connection, Death Of A Parent",Choi Kang Hee Ban Ha NiMain RoleKim Young Kwang Han Yoo HyunMain RoleLee Re Ban Ha Ni [Young]Main RoleEum Moon Suk Anthony / Yang Choon ShikMain RoleKim Yoo Mi Oh Ji Eun [Do Yoon's wife / Team leader]Support RoleJi Seung Hyun Yang Do Yoon [Director of planning]Support Role,Viki  ,Yoo Song Yi,"Wednesday, Thursday",,,,,
